"grid_id","alpha","lambda","log10_lambda","accuracy","tc","valid"
95,0.7,0.01,-2,0.424933687002652,2986.79732501419,TRUE
96,0.8,0.01,-2,0.424933687002652,2990.00455276696,TRUE
97,0.9,0.01,-2,0.425994694960212,2983.57001492912,TRUE
98,1,0.01,-2,0.423342175066313,2988.46790800118,TRUE
99,0,0.00316227766016838,-2.5,0.416445623342175,3203.46062496356,TRUE
100,0.1,0.00316227766016838,-2.5,0.414854111405836,3198.02162547759,TRUE
101,0.2,0.00316227766016838,-2.5,0.416445623342175,3193.37549652903,TRUE
102,0.3,0.00316227766016838,-2.5,0.416976127320955,3191.61943817433,TRUE
103,0.4,0.00316227766016838,-2.5,0.415915119363395,3194.68723622978,TRUE
104,0.5,0.00316227766016838,-2.5,0.416976127320955,3196.27633491061,TRUE
105,0.6,0.00316227766016838,-2.5,0.419098143236074,3006.82915635037,TRUE
106,0.7,0.00316227766016838,-2.5,0.421220159151194,2998.64904769964,TRUE
107,0.8,0.00316227766016838,-2.5,0.420689655172414,2995.17366485218,TRUE
108,0.9,0.00316227766016838,-2.5,0.420159151193634,2994.71266900504,TRUE
109,1,0.00316227766016838,-2.5,0.419628647214854,2994.04640832165,TRUE
110,0,0.001,-3,0.414854111405836,4976.43515159365,TRUE
111,0.1,0.001,-3,0.414854111405836,4978.04669299294,TRUE
112,0.2,0.001,-3,0.415915119363395,4963.71530606981,TRUE
113,0.3,0.001,-3,0.415384615384615,3382.62529528118,TRUE
114,0.4,0.001,-3,0.414854111405836,3385.55981406902,TRUE
115,0.5,0.001,-3,0.415384615384615,3199.10350196374,TRUE
116,0.6,0.001,-3,0.415915119363395,3199.13671246991,TRUE
117,0.7,0.001,-3,0.415915119363395,3197.43630733984,TRUE
118,0.8,0.001,-3,0.415915119363395,3197.34744360905,TRUE
119,0.9,0.001,-3,0.415915119363395,3195.73590220976,TRUE
120,1,0.001,-3,0.416445623342175,3195.76911271593,TRUE
121,0,0.000316227766016838,-3.5,0.415915119363395,4973.54508099978,TRUE
122,0.1,0.000316227766016838,-3.5,0.415384615384615,4974.94568443132,TRUE
123,0.2,0.000316227766016838,-3.5,0.414854111405836,4976.43515159365,TRUE
124,0.3,0.000316227766016838,-3.5,0.414854111405836,4976.43515159365,TRUE
125,0.4,0.000316227766016838,-3.5,0.414854111405836,4965.17156272597,TRUE
126,0.5,0.000316227766016838,-3.5,0.414854111405836,4966.78310412526,TRUE
127,0.6,0.000316227766016838,-3.5,0.415384615384615,4965.29363696293,TRUE
128,0.7,0.000316227766016838,-3.5,0.416445623342175,4962.22583890748,TRUE
129,0.8,0.000316227766016838,-3.5,0.416445623342175,4964.70831882517,TRUE
130,0.9,0.000316227766016838,-3.5,0.416445623342175,4964.70831882517,TRUE
131,1,0.000316227766016838,-3.5,0.415915119363395,4966.1977859875,TRUE
132,0,1e-04,-4,0.415384615384615,5172.29284967924,TRUE
133,0.1,1e-04,-4,0.415915119363395,5168.23203886843,TRUE
134,0.2,1e-04,-4,0.415915119363395,5168.23203886843,TRUE
135,0.3,1e-04,-4,0.415915119363395,5168.23203886843,TRUE
136,0.4,1e-04,-4,0.416445623342175,5166.65370797531,TRUE
137,0.5,1e-04,-4,0.415915119363395,5168.14317513764,TRUE
138,0.6,1e-04,-4,0.415915119363395,5168.14317513764,TRUE
139,0.7,1e-04,-4,0.415915119363395,4973.45621726899,TRUE
140,0.8,1e-04,-4,0.415384615384615,4974.94568443132,TRUE
141,0.9,1e-04,-4,0.415915119363395,4962.19262840132,TRUE
142,1,1e-04,-4,0.415384615384615,4963.68209556364,TRUE
